"n°UAI de l'établissement";"Libellé de l'établissement";"Région";"Dont apprentis en EPLE";;"Taux";"Taux attendu";"Valeur ajoutée";
"0170135E";"Lycée polyvalent Jean Hyppolite - Lycée des métiers de la santé et du social";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0170392J";"Etablissement régional d'enseignement adapté Théodore Monod";"NOUVELLE-AQUITAINE";"ensemble";30;12;19;-6;18
"0171238D";"Lycée professionnel Rompsay";"NOUVELLE-AQUITAINE";"ensemble";41;39;41;-2;52
"0171238D";"Lycée professionnel Rompsay";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";46;36;35;1;48
"0171238D";"Lycée professionnel Rompsay";"NOUVELLE-AQUITAINE";"dont apprentis";17;53;65;-12;65
"0171405K";"Lycée Polyvalent Hôtelier du Parc de la Francophonie";"NOUVELLE-AQUITAINE";"ensemble";41;52;49;3;79
"0171405K";"Lycée Polyvalent Hôtelier du Parc de la Francophonie";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";43;53;47;6;78
"0171405K";"Lycée Polyvalent Hôtelier du Parc de la Francophonie";"NOUVELLE-AQUITAINE";"dont apprentis";8;45;57;-12;82
"0171418Z";"Lycée général et technologique Saint-Exupéry";"NOUVELLE-AQUITAINE";"ensemble";58;52;58;-7;64
"0171455P";"Lycée polyvalent Marcel Dassault - Lycée des métiers de la plasturgie, de la productique et de l'outillage";"NOUVELLE-AQUITAINE";"ensemble";48;42;47;-5;51
"0171455P";"Lycée polyvalent Marcel Dassault - Lycée des métiers de la plasturgie, de la productique et de l'outillage";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";51;43;41;1;47
"0171455P";"Lycée polyvalent Marcel Dassault - Lycée des métiers de la plasturgie, de la productique et de l'outillage";"NOUVELLE-AQUITAINE";"dont apprentis";35;42;54;-12;65
"0171571R";"Lycée professionnel de l'Atlantique - Lycée des métiers du bâtiment, de l'hôtellerie et des services";"NOUVELLE-AQUITAINE";"ensemble";49;39;39;-1;58
"0171571R";"Lycée professionnel de l'Atlantique - Lycée des métiers du bâtiment, de l'hôtellerie et des services";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";56;29;30;-1;53
"0171571R";"Lycée professionnel de l'Atlantique - Lycée des métiers du bâtiment, de l'hôtellerie et des services";"NOUVELLE-AQUITAINE";"dont apprentis";19;61;60;0;70
"0180006J";"Lycée général et technologique Marguerite de Navarre";"CENTRE-VAL DE LOIRE";"ensemble";53;;;;
"0180007K";"Lycée général et technologique Jacques Coeur";"CENTRE-VAL DE LOIRE";"ensemble";44;57;52;5;65
"0180008L";"Lycée polyvalent Pierre-Emile Martin - Lycée des métiers de l'ingenierie de l'énergie et de l'environnement";"CENTRE-VAL DE LOIRE";"ensemble";60;43;37;6;56
"0180008L";"Lycée polyvalent Pierre-Emile Martin - Lycée des métiers de l'ingenierie de l'énergie et de l'environnement";"CENTRE-VAL DE LOIRE";"dont élèves en voie pro sco";61;41;36;5;55
"0180008L";"Lycée polyvalent Pierre-Emile Martin - Lycée des métiers de l'ingenierie de l'énergie et de l'environnement";"CENTRE-VAL DE LOIRE";"dont apprentis";;;;;
"0180009M";"Lycée professionnel Jean de Berry - Lycée des métiers du bâtiment";"CENTRE-VAL DE LOIRE";"ensemble";55;53;44;9;62
"0180009M";"Lycée professionnel Jean de Berry - Lycée des métiers du bâtiment";"CENTRE-VAL DE LOIRE";"dont élèves en voie pro sco";56;40;30;10;56
"0180009M";"Lycée professionnel Jean de Berry - Lycée des métiers du bâtiment";"CENTRE-VAL DE LOIRE";"dont apprentis";53;78;70;9;73
"0180010N";"Lycée professionnel Jean Mermoz - Lycée des métiers de l'industrie, du tertiaire et du service à la personne";"CENTRE-VAL DE LOIRE";"ensemble";35;35;33;2;38
"0180024D";"Lycée général et technologique Jean Moulin";"CENTRE-VAL DE LOIRE";"ensemble";32;;;;
"0180025E";"Lycée professionnel Jean Guehenno - Lycée des métiers de la bijouterie, du commerce et de la restauration";"CENTRE-VAL DE LOIRE";"ensemble";53;38;40;-2;52
"0180026F";"Lycée professionnel Jean Moulin";"CENTRE-VAL DE LOIRE";"ensemble";31;27;27;0;35
"0180035R";"Lycée polyvalent Edouard Vaillant";"CENTRE-VAL DE LOIRE";"ensemble";35;37;33;4;45
"0180036S";"Lycée polyvalent Henri Brisson - Lycée des métiers de l'industrie et des sciences appliquées";"CENTRE-VAL DE LOIRE";"ensemble";59;52;49;3;52
"0180036S";"Lycée polyvalent Henri Brisson - Lycée des métiers de l'industrie et des sciences appliquées";"CENTRE-VAL DE LOIRE";"dont élèves en voie pro sco";60;49;46;3;48
"0180036S";"Lycée polyvalent Henri Brisson - Lycée des métiers de l'industrie et des sciences appliquées";"CENTRE-VAL DE LOIRE";"dont apprentis";;;;;
"0180042Y";"Lycée professionnel Jacques Coeur";"CENTRE-VAL DE LOIRE";"ensemble";48;46;35;10;44
"0180561M";"Lycée général et technologique privé Sainte Marie - Saint Dominique";"CENTRE-VAL DE LOIRE";"ensemble";49;52;57;-5;63
"0180571Y";"Lycée polyvalent privé St Jean Baptiste de la Salle";"CENTRE-VAL DE LOIRE";"ensemble";47;33;35;-2;43
"0180572Z";"Lycée professionnel privé Saint Joseph";"CENTRE-VAL DE LOIRE";"ensemble";50;46;40;7;61
"0180823X";"Lycée professionnel Vauvert - Lycée des métiers de l'automobile et du commerce";"CENTRE-VAL DE LOIRE";"ensemble";39;32;36;-4;40
"0190008F";"Lycée professionnel Bort-Artense";"NOUVELLE-AQUITAINE";"ensemble";57;22;34;-12;38
"0190010H";"Lycée général et technologique Georges Cabanis";"NOUVELLE-AQUITAINE";"ensemble";50;62;52;10;61
"0190012K";"Lycée Polyvalent Simone Veil";"NOUVELLE-AQUITAINE";"ensemble";43;40;42;-2;47
"0190012K";"Lycée Polyvalent Simone Veil";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";44;35;39;-4;43
"0190012K";"Lycée Polyvalent Simone Veil";"NOUVELLE-AQUITAINE";"dont apprentis";41;58;56;3;65
"0190018S";"LPO Public Pierre Caraminot, Lycée des Métiers du Génie Civil";"NOUVELLE-AQUITAINE";"ensemble";51;73;61;12;85
"0190027B";"Lycée professionnel Marcel Barbanceys- Lycée des métiers de la Maintenance des Matériels";"NOUVELLE-AQUITAINE";"ensemble";49;76;64;12;78
"0190027B";"Lycée professionnel Marcel Barbanceys- Lycée des métiers de la Maintenance des Matériels";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";52;72;60;12;75
"0190027B";"Lycée professionnel Marcel Barbanceys- Lycée des métiers de la Maintenance des Matériels";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0190032G";"Lycée général et technologique Edmond Perrier";"NOUVELLE-AQUITAINE";"ensemble";44;65;58;7;52
"0190034J";"Lycée professionnel René Cassin";"NOUVELLE-AQUITAINE";"ensemble";45;29;36;-8;36
"0190038N";"Lycée général et technologique Bernart de Ventadour";"NOUVELLE-AQUITAINE";"ensemble";56;;;;
"0190045W";"Lycée professionnel Georges Cabanis";"NOUVELLE-AQUITAINE";"ensemble";70;42;36;6;46
"0190062P";"Lycée polyvalent privé Notre Dame de La Providence";"NOUVELLE-AQUITAINE";"ensemble";47;35;31;4;42
"0190083M";"Lycée polyvalent privé Marguerite Bahuet";"NOUVELLE-AQUITAINE";"ensemble";42;44;46;-2;57
"0190089U";"Lycée d'enseignement adapté - Etablissement régional d'enseignement adapté des milles sources";"NOUVELLE-AQUITAINE";"ensemble";31;25;29;-4;33
"0190674E";"Lycée professionnel Régional Bernart de Ventadour";"NOUVELLE-AQUITAINE";"ensemble";33;18;30;-12;26
"0190701J";"Lycée professionnel Lavoisier";"NOUVELLE-AQUITAINE";"ensemble";43;47;51;-4;58
"0190701J";"Lycée professionnel Lavoisier";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";54;29;37;-8;48
"0190701J";"Lycée professionnel Lavoisier";"NOUVELLE-AQUITAINE";"dont apprentis";29;61;62;-1;66
"0190783Y";"LP CENTRE DES MONEDIERES";"NOUVELLE-AQUITAINE";"ensemble";31;64;52;12;86
"0210003P";"Lycée polyvalent Prieur de La Côte d'Or";"BOURGOGNE-FRANCHE-COMTE";"ensemble";49;35;43;-8;53
"0210003P";"Lycée polyvalent Prieur de La Côte d'Or";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";50;36;43;-7;55
"0210003P";"Lycée polyvalent Prieur de La Côte d'Or";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0210006T";"Lycée polyvalent Clos Maire";"BOURGOGNE-FRANCHE-COMTE";"ensemble";46;37;46;-9;42
"0210012Z";"Lycée général et technologique Stephen Liégeard";"BOURGOGNE-FRANCHE-COMTE";"ensemble";32;;;;
"0210013A";"Lycée polyvalent Desiré Nisard";"BOURGOGNE-FRANCHE-COMTE";"ensemble";46;30;33;-3;43
"0210017E";"Lycée général et technologique Montchapet";"BOURGOGNE-FRANCHE-COMTE";"ensemble";40;58;56;2;56
"0210017E";"Lycée général et technologique Montchapet";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";43;58;58;0;56
"0210017E";"Lycée général et technologique Montchapet";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";23;;;;
"0210018F";"Lycée polyvalent Hippolyte Fontaine, lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"ensemble";49;57;50;7;60
"0210018F";"Lycée polyvalent Hippolyte Fontaine, lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";52;54;47;7;57
"0210018F";"Lycée polyvalent Hippolyte Fontaine, lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";0;83;78;5;87
"0210019G";"Lycée polyvalent Le Castel";"BOURGOGNE-FRANCHE-COMTE";"ensemble";43;52;49;3;52
"0210019G";"Lycée polyvalent Le Castel";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";43;52;49;3;51
"0210019G";"Lycée polyvalent Le Castel";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0210032W";"Lycée polyvalent de la Céramique Henry Moisand, lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"ensemble";66;21;33;-12;21
"0210047M";"Lycée polyvalent régional Anna Judic";"BOURGOGNE-FRANCHE-COMTE";"ensemble";34;34;43;-10;47
"0210056X";"Lycée professionnel Eugène Guillaume";"BOURGOGNE-FRANCHE-COMTE";"ensemble";39;53;49;4;64
"0210056X";"Lycée professionnel Eugène Guillaume";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";47;40;40;-1;52
"0210056X";"Lycée professionnel Eugène Guillaume";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";14;80;68;12;88
"0211033J";"Lycée technologique Gustave Eiffel";"BOURGOGNE-FRANCHE-COMTE";"ensemble";40;62;53;9;57
"0211089V";"Lycée polyvalent Saint Joseph - La salle";"BOURGOGNE-FRANCHE-COMTE";"ensemble";61;52;49;3;57
"0211090W";"Lycée polyvalent privé Saint Benigne";"BOURGOGNE-FRANCHE-COMTE";"ensemble";36;54;54;0;64
"0211091X";"Lycée polyvalent privé Les Arcades";"BOURGOGNE-FRANCHE-COMTE";"ensemble";41;44;44;0;55
"0211356K";"Lycée professionnel Antoine";"BOURGOGNE-FRANCHE-COMTE";"ensemble";51;42;43;-1;47
"0211428N";"Etablissement régional d'enseignement adapté Alain Fournier";"BOURGOGNE-FRANCHE-COMTE";"ensemble";36;28;22;6;28
"0211986V";"Lycée polyvalent Les Marcs d'Or - Lycée des métiers du bâtiment et des travaux publics";"BOURGOGNE-FRANCHE-COMTE";"ensemble";53;65;53;12;70
"0211986V";"Lycée polyvalent Les Marcs d'Or - Lycée des métiers du bâtiment et des travaux publics";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";53;65;53;12;70
"0211986V";"Lycée polyvalent Les Marcs d'Or - Lycée des métiers du bâtiment et des travaux publics";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0212015B";"Lycée polyvalent Simone Weil";"BOURGOGNE-FRANCHE-COMTE";"ensemble";51;38;36;2;43
"0212023K";"Lycée polyvalent privé Saint Vincent de Paul";"BOURGOGNE-FRANCHE-COMTE";"ensemble";55;50;38;12;55
"0212045J";"Lycée polyvalent Marey";"BOURGOGNE-FRANCHE-COMTE";"ensemble";49;37;39;-2;39
"0212045J";"Lycée polyvalent Marey";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";51;34;36;-2;37
"0212045J";"Lycée polyvalent Marey";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0220013V";"Lycée polyvalent La Fontaine des Eaux - Lycée des métiers de la gestion énergétique des bâtiments";"BRETAGNE";"ensemble";43;59;54;5;61
"0220013V";"Lycée polyvalent La Fontaine des Eaux - Lycée des métiers de la gestion énergétique des bâtiments";"BRETAGNE";"dont élèves en voie pro sco";48;49;46;3;51
"0220013V";"Lycée polyvalent La Fontaine des Eaux - Lycée des métiers de la gestion énergétique des bâtiments";"BRETAGNE";"dont apprentis";19;94;82;12;94
"0220018A";"Lycée général et technologique Auguste Pavie";"BRETAGNE";"ensemble";22;55;57;-2;75
"0220019B";"Lycée professionnel Jules Verne - Lycée des métiers de l'industrie et du commerce";"BRETAGNE";"ensemble";51;31;37;-6;46
"0220023F";"Lycée général et technologique Félix Le Dantec";"BRETAGNE";"ensemble";47;39;50;-10;52
"0220027K";"Lycée polyvalent Fulgence Bienvenüe";"BRETAGNE";"ensemble";50;54;48;6;59
"0220056S";"Lycée général et technologique François Rabelais";"BRETAGNE";"ensemble";25;45;48;-3;61
"0220057T";"Lycée général et technologique Ernest Renan";"BRETAGNE";"ensemble";34;52;54;-1;61
"0220058U";"Lycée polyvalent Chaptal";"BRETAGNE";"ensemble";45;50;46;3;62
"0220060W";"Lycée général et technologique Eugène Freyssinet";"BRETAGNE";"ensemble";41;80;68;12;86
"0220064A";"Lycée professionnel hotelier La Closerie";"BRETAGNE";"ensemble";54;42;44;-2;62
"0220065B";"Lycée général et technologique Joseph Savina";"BRETAGNE";"ensemble";54;35;47;-12;46
"0220071H";"Lycée professionnel Eugène Freyssinet - Lycée des métiers du bâtiment et des travaux publics";"BRETAGNE";"ensemble";62;53;45;8;61
"0220072J";"Lycée professionnel Joseph Savina";"BRETAGNE";"ensemble";73;;;;
"0220075M";"Lycée  professionnel Jean Monnet - Lycée des métiers du bâtiment et de l'art de la pierre";"BRETAGNE";"ensemble";48;52;47;5;70
"0220075M";"Lycée  professionnel Jean Monnet - Lycée des métiers du bâtiment et de l'art de la pierre";"BRETAGNE";"dont élèves en voie pro sco";51;46;42;4;69
"0220075M";"Lycée  professionnel Jean Monnet - Lycée des métiers du bâtiment et de l'art de la pierre";"BRETAGNE";"dont apprentis";;;;;
"0220083W";"Lycée professionnel Félix Le Dantec";"BRETAGNE";"ensemble";75;26;30;-4;37
"0220094H";"Lycée général et technologique privé Les Cordeliers-Notre Dame de la Victoire";"BRETAGNE";"ensemble";31;59;54;5;62
"0220097L";"Lycée général et technologique privé Notre-Dame";"BRETAGNE";"ensemble";35;59;57;2;72
"0220102S";"Lycée général et technologique privé Saint Joseph - Bossuet";"BRETAGNE";"ensemble";36;29;41;-12;65
"0220107X";"Lycée général et technologique privé Notre-Dame de Campostal";"BRETAGNE";"ensemble";17;25;37;-12;39
"0220116G";"Pôle Supérieur Lycée Saint Brieuc";"BRETAGNE";"ensemble";35;57;57;-1;73
"0220117H";"Lycée polyvalent privé Sacré-Coeur - Lycée des métiers de l'industrie et des services aux entreprises";"BRETAGNE";"ensemble";65;49;40;8;60
"0220122N";"Lycée professionnel privé Montbareil - Lycée des métiers de la coiffure et de l'esthétique-cosmétique";"BRETAGNE";"ensemble";70;45;47;-2;65
"0220123P";"Lycée professionnel privé Saint Joseph - Bossuet";"BRETAGNE";"ensemble";59;52;42;10;67
"0220186H";"Lycée professionnel Rosa Parks - Lycée des métiers des services à la personne et de la sécurité";"BRETAGNE";"ensemble";45;38;35;3;39
"0220186H";"Lycée professionnel Rosa Parks - Lycée des métiers des services à la personne et de la sécurité";"BRETAGNE";"dont élèves en voie pro sco";48;35;29;6;37
"0220186H";"Lycée professionnel Rosa Parks - Lycée des métiers des services à la personne et de la sécurité";"BRETAGNE";"dont apprentis";5;57;69;-12;52
"0220196U";"Lycée polyvalent Henri Avril - Lycée des métiers de la maintenance";"BRETAGNE";"ensemble";52;62;51;10;66
"0220196U";"Lycée polyvalent Henri Avril - Lycée des métiers de la maintenance";"BRETAGNE";"dont élèves en voie pro sco";55;58;47;11;63
"0220196U";"Lycée polyvalent Henri Avril - Lycée des métiers de la maintenance";"BRETAGNE";"dont apprentis";;;;;
"0221569L";"Etablissement régional d'enseignement adapté Beauregard";"BRETAGNE";"ensemble";51;;;;
"0221571N";"Lycée polyvalent Kerraoul - Lycée des métiers sanitaire et social";"BRETAGNE";"ensemble";45;12;24;-12;27
"0221589H";"Lycée général et technologique prive Saint Joseph";"BRETAGNE";"ensemble";29;48;58;-10;62
"0221595P";"Lycée professionnel La Fontaine des Eaux - Lycée des métiers de la gestion énergétique des bâtiments";"BRETAGNE";"ensemble";59;34;38;-4;51
"0221865H";"Lycée professionnel privé Saint Joseph";"BRETAGNE";"ensemble";53;16;28;-12;52
"0221866J";"Lycée professionnel privé Kersa La Salle";"BRETAGNE";"ensemble";40;27;32;-6;37
"0221867K";"Lycée professionnel privé Marie Balavenne";"BRETAGNE";"ensemble";51;28;32;-4;41
"0230002C";"Lycée général et technologique Eugène Jamot";"NOUVELLE-AQUITAINE";"ensemble";37;23;35;-12;45
"0230003D";"Lycée professionnel Jean Jaurès";"NOUVELLE-AQUITAINE";"ensemble";56;18;30;-12;25
"0230008J";"LP Public Delphine Gay, Lycée des Métiers de la coiffure, de l'esthétique et des services à la personne";"NOUVELLE-AQUITAINE";"ensemble";47;24;35;-11;37
"0230008J";"LP Public Delphine Gay, Lycée des Métiers de la coiffure, de l'esthétique et des services à la personne";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";49;15;27;-12;32
"0230008J";"LP Public Delphine Gay, Lycée des Métiers de la coiffure, de l'esthétique et des services à la personne";"NOUVELLE-AQUITAINE";"dont apprentis";36;47;53;-6;53
"0230018V";"Lycée des Métiers du Bâtiment";"NOUVELLE-AQUITAINE";"ensemble";46;61;58;4;70
"0230019W";"LP Public, Lycée des Métiers du Bâtiment";"NOUVELLE-AQUITAINE";"ensemble";44;58;57;1;60
"0230019W";"LP Public, Lycée des Métiers du Bâtiment";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";58;45;34;12;51
"0230019W";"LP Public, Lycée des Métiers du Bâtiment";"NOUVELLE-AQUITAINE";"dont apprentis";23;68;75;-7;67
"0230020X";"Lycée général et technologique Pierre Bourdan";"NOUVELLE-AQUITAINE";"ensemble";28;58;54;4;62
"0230025C";"Lycée général et technologique Raymond Loewy";"NOUVELLE-AQUITAINE";"ensemble";67;29;41;-12;21
"0230027E";"Lycée professionnel Louis Gaston Roussillat";"NOUVELLE-AQUITAINE";"ensemble";42;37;36;1;41
"0230051F";"Lycée polyvalent Jean Favard";"NOUVELLE-AQUITAINE";"ensemble";59;49;42;7;47
"0240005A";"Lycée général et technologique Maine de Biran";"NOUVELLE-AQUITAINE";"ensemble";44;50;50;0;62
"0240005A";"Lycée général et technologique Maine de Biran";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";46;51;51;0;65
"0240005A";"Lycée général et technologique Maine de Biran";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0240006B";"Lycée professionnel Hélène Duc - Lycée des métiers Sud Périgord";"NOUVELLE-AQUITAINE";"ensemble";46;39;43;-4;55
"0240006B";"Lycée professionnel Hélène Duc - Lycée des métiers Sud Périgord";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";47;37;42;-5;53
"0240006B";"Lycée professionnel Hélène Duc - Lycée des métiers Sud Périgord";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0240007C";"Lycée professionnel Jean Capelle - Lycée des métiers de l'hôtellerie, de la gastronomie et des services";"NOUVELLE-AQUITAINE";"ensemble";48;32;32;1;44
"0240007C";"Lycée professionnel Jean Capelle - Lycée des métiers de l'hôtellerie, de la gastronomie et des services";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";48;33;32;2;43
"0240007C";"Lycée professionnel Jean Capelle - Lycée des métiers de l'hôtellerie, de la gastronomie et des services";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0240012H";"Lycée professionnel Métiers du Bâtiment";"NOUVELLE-AQUITAINE";"ensemble";41;38;36;2;44
"0240021T";"Lycée polyvalent Alcide Dusolier";"NOUVELLE-AQUITAINE";"ensemble";57;17;29;-12;29
"0240024W";"Lycée général Bertran de Born";"NOUVELLE-AQUITAINE";"ensemble";16;;;;
"0240025X";"Lycée général et technologique Laure Gatet";"NOUVELLE-AQUITAINE";"ensemble";40;50;54;-3;57
